author;coverPicFileName;Image-URL-M;description;isbn;language;numOfPages;price;publishDate;publisher;title;Image-URL-L;Year-Of-Publication
Mordecai Richler;;http://images.amazon.com/images/P/3404921038.01.MZZZZZZZ.jpg;;3404921038;;;;;LÃ?Â¼bbe;Wie Barney es sieht.;http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg;2002
Eleanor Cooney;;http://images.amazon.com/images/P/3442353866.01.MZZZZZZZ.jpg;;3442353866;;;;;Goldmann;Der Fluch der Kaiserin. Ein Richter- Di- Roman.;http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg;2001
Charlotte Link;;http://images.amazon.com/images/P/3442410665.01.MZZZZZZZ.jpg;;3442410665;;;;;Goldmann;Sturmzeit. Roman.;http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg;1991
Richard North Patterson;;http://images.amazon.com/images/P/3442446937.01.MZZZZZZZ.jpg;;3442446937;;;;;Goldmann;Tage der Unschuld.;http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg;2000
Mark Salzman;;http://images.amazon.com/images/P/0375406328.01.MZZZZZZZ.jpg;;375406328;;;;;Alfred A. Knopf;Lying Awake;http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg;2000
Harper Lee;;http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg;;446310786;;;;;Little Brown &amp Company;To Kill a Mockingbird;http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg;1988
LAURA HILLENBRAND;;http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg;;449005615;;;;;Ballantine Books;Seabiscuit: An American Legend;http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg;2002
Barbara Kingsolver;;http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg;;60168013;;;;;Harpercollins;Pigs in Heaven;http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg;1993
Jo Dereske;;http://images.amazon.com/images/P/038078243X.01.MZZZZZZZ.jpg;;038078243X;;;;;Avon;Miss Zukas and the Raven's Dance;http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg;1996
Jane Austen;;http://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg;;055321215X;;;;;Bantam;Pride and Prejudice;http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg;1983
Dolores Krieger;;http://images.amazon.com/images/P/067176537X.01.MZZZZZZZ.jpg;;067176537X;;;;;Fireside;The Therapeutic Touch: How to Use Your Hands to Help or to Heal;http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg;1979
Anne Rivers Siddons;;http://images.amazon.com/images/P/0061099686.01.MZZZZZZZ.jpg;;61099686;;;;;HarperTorch;Downtown;http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg;1995
Dean R. Koontz;;http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg;;553582909;;;;;Bantam Books;Icebound;http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg;2000
Mary Higgins Clark;;http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg;;671888587;;;;;Pocket;I'll Be Seeing You;http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg;1994
Dean Koontz;;http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg;;553582747;;;;;Bantam Books;From the Corner of His Eye;http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg;2001
Patricia Cornwell;;http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg;;425182908;;;;;Berkley Publishing Group;Isle of Dogs;http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg;2002
J.D. Robb;;http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg;;042518630X;;;;;Berkley Publishing Group;Purity in Death;http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg;2002
Maeve Binchy;;http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg;;440223571;;;;;Dell;This Year It Will Be Different: And Other Stories;http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg;1997
Laura J. Mixon;;http://images.amazon.com/images/P/0812523873.01.MZZZZZZZ.jpg;;812523873;;;;;Tor Books;Proxies;http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg;1999
Tim Lahaye;;http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg;;842342702;;;;;Tyndale House Publishers;Left Behind: A Novel of the Earth's Last Days (Left Behind #1);http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg;2000
JOHN GRISHAM;;http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg;;440225701;;;;;Dell;The Street Lawyer;http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg;1999
M.D. Bernie S. Siegel;;http://images.amazon.com/images/P/0060914068.01.MZZZZZZZ.jpg;;60914068;;;;;HarperCollins Publishers;Love, Medicine and Miracles;http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg;1988
Robert Penn Warren;;http://images.amazon.com/images/P/0156047624.01.MZZZZZZZ.jpg;;156047624;;;;;Harvest Books;All the King's Men;http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg;1982
Hans Johannes Hoefer;;http://images.amazon.com/images/P/0245542957.01.MZZZZZZZ.jpg;;245542957;;;;;Chambers Harrap Publishers Ltd;Pacific Northwest;http://images.amazon.com/images/P/0245542957.01.LZZZZZZZ.jpg;1985
Mark Helprin;;http://images.amazon.com/images/P/0380715899.01.MZZZZZZZ.jpg;;380715899;;;;;Avon Books;A Soldier of the Great War;http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg;1992
O. Carol Simonton Md;;http://images.amazon.com/images/P/0553280333.01.MZZZZZZZ.jpg;;553280333;;;;;Bantam;Getting Well Again;http://images.amazon.com/images/P/0553280333.01.LZZZZZZZ.jpg;1992
Chuck Hill;;http://images.amazon.com/images/P/0961769947.01.MZZZZZZZ.jpg;;961769947;;;;;Speed Graphics;Northwest Wines and Wineries;http://images.amazon.com/images/P/0961769947.01.LZZZZZZZ.jpg;1993
David Iglehart;;http://images.amazon.com/images/P/0964778319.01.MZZZZZZZ.jpg;;964778319;;;;;Sunflower Press;An Atmosphere of Eternity: Stories of India;http://images.amazon.com/images/P/0964778319.01.LZZZZZZZ.jpg;2002
Larry McMurtry;;http://images.amazon.com/images/P/0671623249.01.MZZZZZZZ.jpg;;671623249;;;;;Pocket;LONESOME DOVE;http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg;1986
SUZANNE FISHER STAPLES;;http://images.amazon.com/images/P/0679810307.01.MZZZZZZZ.jpg;;679810307;;;;;Laurel Leaf;Shabanu: Daughter of the Wind (Border Trilogy);http://images.amazon.com/images/P/0679810307.01.LZZZZZZZ.jpg;1991
SUZANNE FISHER STAPLES;;http://images.amazon.com/images/P/0679865691.01.MZZZZZZZ.jpg;;679865691;;;;;Laurel Leaf;Haveli (Laurel Leaf Books);http://images.amazon.com/images/P/0679865691.01.LZZZZZZZ.jpg;1995
Michel Tournier;;http://images.amazon.com/images/P/2070423204.01.MZZZZZZZ.jpg;;2070423204;;;;;Gallimard;Lieux dits;http://images.amazon.com/images/P/2070423204.01.LZZZZZZZ.jpg;2002
Carl Sagan;;http://images.amazon.com/images/P/0345260317.01.MZZZZZZZ.jpg;;345260317;;;;;Ballantine Books;The Dragons of Eden: Speculations on the Evolution of Human Intelligence;http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg;1978
Aleksandr Zinoviev;;http://images.amazon.com/images/P/0394743741.01.MZZZZZZZ.jpg;;394743741;;;;;Random House;The yawning heights;http://images.amazon.com/images/P/0394743741.01.LZZZZZZZ.jpg;1980
Anne Tyler;;http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg;;042511774X;;;;;Berkley Publishing Group;Breathing Lessons;http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg;1994
Amy Tan;;http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg;;804106304;;;;;Prentice Hall (K-12);The Joy Luck Club;http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg;1994
Joseph Conrad;;http://images.amazon.com/images/P/1853262404.01.MZZZZZZZ.jpg;;1853262404;;;;;NTC/Contemporary Publishing Company;Heart of Darkness (Wordsworth Collection);http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg;1998
Deepak Chopra;;http://images.amazon.com/images/P/0312970242.01.MZZZZZZZ.jpg;;312970242;;;;;St. Martin's Press;The Angel Is Near;http://images.amazon.com/images/P/0312970242.01.LZZZZZZZ.jpg;2000
Thomas Hardy;;http://images.amazon.com/images/P/1853260053.01.MZZZZZZZ.jpg;;1853260053;;;;;NTC/Contemporary Publishing Company;Tess of the D'Urbervilles (Wordsworth Classics);http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg;1997
Charles Noland;;http://images.amazon.com/images/P/1414035004.01.MZZZZZZZ.jpg;;1414035004;;;;;1stBooks Library;The Adventures of Drew and Ellie: The Magical Dress;http://images.amazon.com/images/P/1414035004.01.LZZZZZZZ.jpg;2003
Valerie Frankel;;http://images.amazon.com/images/P/0060938412.01.MZZZZZZZ.jpg;;60938412;;;;;Avon Trade;The Accidental Virgin;http://images.amazon.com/images/P/0060938412.01.LZZZZZZZ.jpg;2003
Benjamin Hoff;;http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg;;140067477;;;;;Penguin Books;The Tao of Pooh;http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg;1983
LAURA HILLENBRAND;;http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg;;345465083;;;;;Ballantine Books;Seabiscuit;http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg;2003
Niccolo Machiavelli;;http://images.amazon.com/images/P/0451625889.01.MZZZZZZZ.jpg;;451625889;;;;;Signet Book;The Prince;http://images.amazon.com/images/P/0451625889.01.LZZZZZZZ.jpg;1952
H. Jackson Brown;;http://images.amazon.com/images/P/1558531025.01.MZZZZZZZ.jpg;;1558531025;;;;;Thomas Nelson;Life's Little Instruction Book (Life's Little Instruction Books (Paperback));http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg;1991
Robert A. Heinlein;;http://images.amazon.com/images/P/0441783589.01.MZZZZZZZ.jpg;;441783589;;;;;Ace Books;Starship Troopers;http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg;1987
PHILIP PULLMAN;;http://images.amazon.com/images/P/0394895894.01.MZZZZZZZ.jpg;;394895894;;;;;Laurel Leaf;The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1);http://images.amazon.com/images/P/0394895894.01.LZZZZZZZ.jpg;1988
Anna Sewell;;http://images.amazon.com/images/P/1569871213.01.MZZZZZZZ.jpg;;1569871213;;;;;Landoll;Black Beauty (Illustrated Classics);http://images.amazon.com/images/P/1569871213.01.LZZZZZZZ.jpg;1995
MICHAEL ONDAATJE;;http://images.amazon.com/images/P/0375410538.01.MZZZZZZZ.jpg;;375410538;;;;;Knopf;Anil's Ghost;http://images.amazon.com/images/P/0375410538.01.LZZZZZZZ.jpg;2000
Sandra Levy Ceren;;http://images.amazon.com/images/P/0966986105.01.MZZZZZZZ.jpg;;966986105;;;;;Andrew Scott Publishers;Prescription for Terror;http://images.amazon.com/images/P/0966986105.01.LZZZZZZZ.jpg;1999
P.J. O'Rourke;;http://images.amazon.com/images/P/087113375X.01.MZZZZZZZ.jpg;;087113375X;;;;;Atlantic Monthly Press;Modern Manners: An Etiquette Book for Rude People;http://images.amazon.com/images/P/087113375X.01.LZZZZZZZ.jpg;1990
Mike Gayle;;http://images.amazon.com/images/P/0340767936.01.MZZZZZZZ.jpg;;340767936;;;;;Hodder &amp Stoughton General Division;Turning Thirty;http://images.amazon.com/images/P/0340767936.01.LZZZZZZZ.jpg;2000
Stel Pavlou;;http://images.amazon.com/images/P/0743403843.01.MZZZZZZZ.jpg;;743403843;;;;;Simon &amp Schuster (Trade Division);Decipher;http://images.amazon.com/images/P/0743403843.01.LZZZZZZZ.jpg;2002
Sarah Payne Stuart;;http://images.amazon.com/images/P/0060930365.01.MZZZZZZZ.jpg;;60930365;;;;;Perennial;My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell;http://images.amazon.com/images/P/0060930365.01.LZZZZZZZ.jpg;1999
Dan Quayle;;http://images.amazon.com/images/P/0060177586.01.MZZZZZZZ.jpg;;60177586;;;;;Harpercollins;Standing Firm: A Vice-Presidential Memoir;http://images.amazon.com/images/P/0060177586.01.LZZZZZZZ.jpg;1994
Donald F. Kettl;;http://images.amazon.com/images/P/0071416331.01.MZZZZZZZ.jpg;;71416331;;;;;McGraw-Hill;Team Bush : Leadership Lessons from the Bush White House;http://images.amazon.com/images/P/0071416331.01.LZZZZZZZ.jpg;2003
DAVID FRUM;;http://images.amazon.com/images/P/0375509038.01.MZZZZZZZ.jpg;;375509038;;;;;Random House;The Right Man : The Surprise Presidency of George W. Bush;http://images.amazon.com/images/P/0375509038.01.LZZZZZZZ.jpg;2003
Louis Lamour;;http://images.amazon.com/images/P/0553062042.01.MZZZZZZZ.jpg;;553062042;;;;;Bantam Doubleday Dell;Daybreakers Louis Lamour Collection;http://images.amazon.com/images/P/0553062042.01.LZZZZZZZ.jpg;1981
J.D. Salinger;;http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg;;316769487;;;;;Little, Brown;The Catcher in the Rye;http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg;1991
J. R. R. Tolkien;;http://images.amazon.com/images/P/8445071408.01.MZZZZZZZ.jpg;;8445071408;;;;;Minotauro;El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish));http://images.amazon.com/images/P/8445071408.01.LZZZZZZZ.jpg;2001
J. R. R. Tolkien;;http://images.amazon.com/images/P/8445071769.01.MZZZZZZZ.jpg;;8445071769;;;;;Minotauro;El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback));http://images.amazon.com/images/P/8445071769.01.LZZZZZZZ.jpg;2001
J. R. R. Tolkien;;http://images.amazon.com/images/P/8445071777.01.MZZZZZZZ.jpg;;8445071777;;;;;Distribooks;El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.);http://images.amazon.com/images/P/8445071777.01.LZZZZZZZ.jpg;2001
John Berendt;;http://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg;;679429220;;;;;Random House;Midnight in the Garden of Good and Evil: A Savannah Story;http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg;1994
Mary Higgins Clark;;http://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg;;671867156;;;;;Pocket;Pretend You Don't See Her;http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg;1998
Jennifer Crusie;;http://images.amazon.com/images/P/0312252617.01.MZZZZZZZ.jpg;;312252617;;;;;St. Martin's Press;Fast Women;http://images.amazon.com/images/P/0312252617.01.LZZZZZZZ.jpg;2001
Jane Heller;;http://images.amazon.com/images/P/0312261594.01.MZZZZZZZ.jpg;;312261594;;;;;St. Martin's Press;Female Intelligence;http://images.amazon.com/images/P/0312261594.01.LZZZZZZZ.jpg;2001
Michael Rips;;http://images.amazon.com/images/P/0316748641.01.MZZZZZZZ.jpg;;316748641;;;;;Back Bay Books;Pasquale's Nose: Idle Days in an Italian Town;http://images.amazon.com/images/P/0316748641.01.LZZZZZZZ.jpg;2002
Simon Mawer;;http://images.amazon.com/images/P/0316973742.01.MZZZZZZZ.jpg;;316973742;;;;;Back Bay Books;The Gospel of Judas: A Novel;http://images.amazon.com/images/P/0316973742.01.LZZZZZZZ.jpg;2002
William Abrahams;;http://images.amazon.com/images/P/0385235941.01.MZZZZZZZ.jpg;;385235941;;;;;Doubleday Books;Prize Stories, 1987: The O'Henry Awards;http://images.amazon.com/images/P/0385235941.01.LZZZZZZZ.jpg;1987
Robert T. Kiyosaki;;http://images.amazon.com/images/P/0446677450.01.MZZZZZZZ.jpg;;446677450;;;;;Warner Books;Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!;http://images.amazon.com/images/P/0446677450.01.LZZZZZZZ.jpg;2000
Ken Follett;;http://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg;;451166892;;;;;Signet Book;The Pillars of the Earth;http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg;1996
John F. Love;;http://images.amazon.com/images/P/0553347594.01.MZZZZZZZ.jpg;;553347594;;;;;Bantam;McDonald's: Behind the Arches;http://images.amazon.com/images/P/0553347594.01.LZZZZZZZ.jpg;1995
Robert G. Allen;;http://images.amazon.com/images/P/0671621009.01.MZZZZZZZ.jpg;;671621009;;;;;Fireside;Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!;http://images.amazon.com/images/P/0671621009.01.LZZZZZZZ.jpg;1986
LOUIS DE BERNIERES;;http://images.amazon.com/images/P/067976397X.01.MZZZZZZZ.jpg;;067976397X;;;;;Vintage;Corelli's Mandolin : A Novel;http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg;1995
Pam Proctor;;http://images.amazon.com/images/P/0684822733.01.MZZZZZZZ.jpg;;684822733;;;;;Fireside;Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans;http://images.amazon.com/images/P/0684822733.01.LZZZZZZZ.jpg;1996
Mitch Albom;;http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg;;786868716;;;;;Hyperion;The Five People You Meet in Heaven;http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg;2003
Irene Gonzalez Frei;;http://images.amazon.com/images/P/8472238822.01.MZZZZZZZ.jpg;;8472238822;;;;;Tusquets;Tu Nombre Escrito En El Agua (La Sonrisa Vertical);http://images.amazon.com/images/P/8472238822.01.LZZZZZZZ.jpg;2002
Michael Jan Friedman;;http://images.amazon.com/images/P/0671864769.01.MZZZZZZZ.jpg;;671864769;;;;;Star Trek;Relics (Star Trek: The Next Generation);http://images.amazon.com/images/P/0671864769.01.LZZZZZZZ.jpg;1992
Glendon Swarthout;;http://images.amazon.com/images/P/0671521519.01.MZZZZZZZ.jpg;;671521519;;;;;Pocket;Bless The Beasts And Children : Bless The Beasts And Children;http://images.amazon.com/images/P/0671521519.01.LZZZZZZZ.jpg;1995
Neal Barrett Jr.;;http://images.amazon.com/images/P/0440222303.01.MZZZZZZZ.jpg;;440222303;;;;;Dell;The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5);http://images.amazon.com/images/P/0440222303.01.LZZZZZZZ.jpg;1996
David Morrell;;http://images.amazon.com/images/P/0312953453.01.MZZZZZZZ.jpg;;312953453;;;;;St. Martin's Press;Blood Oath;http://images.amazon.com/images/P/0312953453.01.LZZZZZZZ.jpg;1994
Sandra Brown;;http://images.amazon.com/images/P/0446608653.01.MZZZZZZZ.jpg;;446608653;;;;;Warner Books;The Alibi;http://images.amazon.com/images/P/0446608653.01.LZZZZZZZ.jpg;2000
James Patterson;;http://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg;;446612545;;;;;Warner Books;The Beach House;http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg;2003
Sandra Brown;;http://images.amazon.com/images/P/0446612618.01.MZZZZZZZ.jpg;;446612618;;;;;Warner Books;A Kiss Remembered;http://images.amazon.com/images/P/0446612618.01.LZZZZZZZ.jpg;2003
Stuart Woods;;http://images.amazon.com/images/P/0451208080.01.MZZZZZZZ.jpg;;451208080;;;;;Signet Book;The Short Forever;http://images.amazon.com/images/P/0451208080.01.LZZZZZZZ.jpg;2003
IRIS JOHANSEN;;http://images.amazon.com/images/P/0553584383.01.MZZZZZZZ.jpg;;553584383;;;;;Bantam Books;Dead Aim;http://images.amazon.com/images/P/0553584383.01.LZZZZZZZ.jpg;2004
